Test Name,Description,Duration,Test Type,Remote Testing,Adaptive/IRT Support,Job Levels,Languages,Test URL
Sales Engineer Solution,"The Sales Engineer solution is designed for use with professional level telecommunications engineers with distinct sales responsibilities. The solution is focused on positions that involve the design of telecommunications networks for specific customer applications, and places an emphasis on reasoning ability and sales ability. Sample tasks may include: designing network solutions to meet customer needs, communicating technical information to all levels of clients participating in the sales process, assisting or owning the sales process, and ensuring proper implementation of contracted equipment and services. Potential job titles that use this solution are: Sales Engineer, Senior Technical Consultant, and Technical Sales Lead. There are multiple configurations of this solution available.",61,"A,B,K,P,S",yes,yes,Professional Individual Contributor,"English (USA),",https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/
Sales Manager Solution,"The Sales Manager solution is an assessment used for applying to entry to mid-level sales leadership positions that generally manage employees and have a significant portion of their job performance based on sales. Sample tasks for these jobs include, but are not limited to: planning and preparing sales plans, promoting products to customers, training subordinates, building ongoing customer relationships, and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Sales Manager and Manager of Direct Sales.",63,"A,B,P",yes,yes,"Front Line Manager, Manager,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/
Sales Professional 7.0 Solution,"Our Sales Professional 7.0 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships.
Report Language Availability: English (USA).",21,"C,B",yes,no,"Mid-Professional, Professional Individual Contributor","English International, English (USA), French (Canada), Latin American Spanish",https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/
Sales Professional 7.1 (Americas),"Our Sales Professional 7.1 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships.",21,"B,C",yes,no,"Professional Individual Contributor, Mid-Professional","English (USA), Portuguese (Brazil), Latin American Spanish, French (Canada)",https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/
Sales Professional Solution,"The Sales Professional solution is for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships. Potential job titles that use this solution are: Sales Consultant, Sales Representative, and Account Representative. Multiple configurations of this solution are available.",47,"A,B,P",yes,yes,Mid-Professional,English (USA),https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/
Sales Representative Solution,"The Sales Representative solution is for entry-level sales positions in which employees proactively sell products to customers and have their pay and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. Potential job titles that use this solution are: Sales Representative, Sales Associate, and Sales Clerk. Multiple configurations of this solution are available.",29,"A,B,P",yes,yes,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/
Sales Supervisor Solution,"The Sales Supervisor solution is an assessment used for job candidates applying to entry-level sales leadership positions that generally supervise employees and have a significant portion of their job performance based on sales. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, promoting products to customers; training subordinates; building ongoing customer relationships; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Assistant Sales Manager and Sales Supervisor. Multiple configurations of this solution are available.",38,"A,B,P",yes,yes,"Front Line Manager, Manager, Supervisor,",English (USA),https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/
Sales Support Specialist Solution,"The Sales Support Specialist solution is for entry to mid-level sales support positions in which employees work primarily under the guidance of an account manager or operations manager in support of client accounts. Sample tasks for these jobs include, but are not limited to: implementing customer orders, assisting with and coordinating activities, and utilizing processes to meet customer requirements. Potential job titles that use this solution are: Implementation Specialist, Project Assistant, and Sales Support Assistant. Multiple configurations of this solution are available.",43,"A,B,P",yes,yes,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/
Senior Insurance Agent Solution,"The Senior Insurance Agent solution is for senior-level professional positions in the insurance industry that sell a portfolio of insurance products, including property, casualty, automotive, health, and life. Sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suit individual customers; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when claims are made on a policy. Potential job titles that use this solution are: Insurance Senior Sales Professional, Senior Producer, Insurance Sales Agent, and Insurance Agent. Multiple configurations of this solution are available.",44,"A,B,P",yes,no,Professional Individual Contributor,English (USA),https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/
Senior Sales Professional Solution,"The Senior Sales Professional solution is for high-level sales positions in which employees proactively sell products to customers, develop relationships with new or existing customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, consulting with and persuading customers to buy products, and building ongoing customer relationships. Potential job titles that use this solution are: Senior Sales Representative, Business Development Manager, and Senior Sales Consultant. Multiple configurations of this solution are available.",42,"A,B,P",yes,yes,Professional Individual Contributor,"English (USA),",https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/
Server Solution,"The Server solution is designed for entry-level positions in the hospitality industry. Sample tasks include greeting customers, taking customer food and drink orders and delivering food items to guests. The solution is focused on work ethic, customer focus and sales. Potential job titles that use this solution are: Server and Waiter/Waitress. Multiple configurations of this solution are available.",40,"B,A,P",yes,yes,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/server-solution/
Service Associate Solution,"The Service Associate is designed for entry-level positions that are primarily task focused but may include a customer service component. The solution covers a wide variety of support positions in the hospitality industry and sample tasks may include: cleaning hotel rooms, serving food at buffet lines, parking cars, and/or delivering food to hotel rooms. Potential job titles that use this solution are: Housekeeper, Buffet Server, Room Service Attendant, and Valet. Multiple configurations of this solution are available.",38,"A,B,P",yes,yes,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/
Service Supervisor Solution,"The Service Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly and salaried employees in customer facing positions (e.g. Front Desk Associate, Concierge, Guest Service Associate). Individuals in these roles perform many of hte duties of the employees they supervise. Sample tasks may include: assisting challenging guests, coaching employees on their customer service skills, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. Potential job titles that use this solution are: Front Desk Manager, Guest Services Supervisor, and Front Desk Supervisor. Multiple configurations of this solution are available.",48,"A,B,P",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/
Stock Clerk Solution,"The Stock Clerk solution is for entry-level retail positions in which employees work primarily in the stockroom handling incoming and outgoing shipment and keeping the sales floor fully stocked. Sample tasks for these jobs include, but are not limited to: unload product shipment, maintain stockroom organization, replenish supplies and products on the sales floor, and process outgoing shipments. Potential job titles that use this solution are: Stock Clerk, Inventory Associate, and Warehouse Associate. Multiple configurations of this solution are available.",25,"A,B,P",yes,no,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/
Store Manager 7.0 Solution,"Our Store Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.
Report Language Availability: English (USA), Latin American Spanish.",34,"B,C",yes,no,"Front Line Manager, Manager","English (USA), English International, French (Canada), Latin American Spanish",https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/
Store Manager 7.1 (Americas),"Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.",34,"B,C",yes,no,"Front Line Manager, Manager","English (USA), Latin American Spanish, Portuguese (Brazil), French (Canada)",https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/
Store Manager 7.1 (International),"Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.",34,"C,B",yes,no,"Front Line Manager, Manager","Latin American Spanish, English International",https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28international%29/
Store Manager Solution,"The Store Manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Store Manager, First Line Supervisor, Retail Manager, Restaurant Manager, and Customer Service Supervisor. Multiple configuration options of this solution are available.",49,"A,B,P",yes,yes,"Manager, Supervisor",English (USA),https://www.shl.com/solutions/products/product-catalog/view/store-manager-solution/
Supervisor - Short Form,"The Supervisor solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Call Center Supervisor, and Customer Service Supervisor.",57,S,yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),https://www.shl.com/solutions/products/product-catalog/view/supervisor-short-form/
Supervisor 7.0 Solution,"Our Supervisor 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.",32,"B,C",yes,no,"Supervisor,","English International, English (USA), French (Canada), Latin American Spanish",https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-0-solution/
Supervisor 7.1 (Americas),"Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.
Report Language Availability: English (USA), Canadian French, Brazilian Portuguese.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".",29,"B,C,P",yes,no,"Front Line Manager, Supervisor","Portuguese (Brazil), French (Canada), English (USA),",https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28americas%29/
Supervisor 7.1 (International),"Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.
Report Language Availability: English International, German, Portuguese, Spanish, Norwegian, Swedish, Dutch, French, English (USA)
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".",29,"P,C,B",yes,no,"Supervisor, Front Line Manager","Italian, Norwegian, Spanish, English (USA), French, German, Dutch, Swedish, Portuguese, English International",https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28international%29/
Support Associate Solution,"The Support Associate solution is designed for entry-level positions that involve little to no interaction with customers. The solution covers a wide variety of support positions in the hospitality industry, and sample tasks may include: food preparation, dishwashing, and/or cleaning. Potential job titles that use this solutin are: Janitor, Food Prep, Laundry Associate and Dishwasher. Multiple configurations of this solution are available.",38,"A,B,P",yes,yes,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/support-associate-solution/
Support Supervisor Solution,"The Support Supervisor solution is designed for entry-level leadership positions in the hospitality industry that oversee hourly employees in non-customer facing support positions (e.g. Janitors, Laundry Workers, Grounds Crew). Individuals in these roles may perform many of the duties of the employees they supervise. Sample tasks may include: assigning work tasks, taking corrective action when an employee is performing poorly, and monitoring employees to assess the satisfactory completion of tasks. Potential job titles that use this solution are: Head Custodian, Maintenance Supervisor, Buildings and Grounds Supervisor, Facilities Manager, Housekeeping Supervisor, Building and Grounds Director and Housekeepig Director. Multiple configurations of this solution are available.",39,"A,P,S,B",yes,yes,"Front Line Manager, Manager, Supervisor",English (USA),https://www.shl.com/solutions/products/product-catalog/view/support-supervisor-solution/
Technical Sales Associate Solution,"The Technical Sales Associate solution is for entry-level retail positions in which employees proactively sell a specific line of products that requires substantial knowledge about the products and have their pay and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: obtaining detailed product information, promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. Potential job titles that use this solution are: Sales Representative, Retail Sales Associate, and Sales Clerk. Multiple configurations of this solution are available.",41,"A,B,P",yes,no,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/
Technician/Technologist Solution,"The Technician/Technologist solution is for positions in a healthcare environment that perform medical tests to aide in the treatment of patients. Sample tasks for this job include, but are not limited to: collecting samples of bodily fluids, completing x-rays on patients, conducting analysis using medical machines, and entering results of medical tests into a computer. Potential job titles that use this solutionare: Radiologic Technician, Medical Technologist/Technician, and Laboratory Technologist. Multiple configurations of this solution are available.",52,"A,B,P",yes,yes,Mid-Professional,English (USA),https://www.shl.com/solutions/products/product-catalog/view/techniciantechnologist-solution/
Technology Professional 8.0 Job Focused Assessment,"The Technology Job Focused Assessment assesses key behavioral attributes required for success in fast-paced, rapidly evolving technology environments , providing an indication of the candidate’s longer term potential.

It is available as part of SHL’s Technology Hiring Solution.",16,"C,P",yes,no,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor","German, Spanish, Latin American Spanish, French, Italian, Indonesian, Chinese Simplified, French (Canada), English International, English (USA)",https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/
Telenurse Solution,"The Telenurse solution is for positions in a healthcare environment that interact with patients over the telephone. Sample tasks for this job include, but are not limited to: accurately understanding patient's symptoms via the telephone, systematically working through patient symptoms to arrive at the correct diagnosis, and recalling facts from the call for documentation. Potential job titles that use this solution are: Telenurse, Telephone Nurse, or On Call Nurse. Multiple configurations of this solution are available.",68,"A,B,P",yes,yes,"Mid-Professional,","English (USA),",https://www.shl.com/solutions/products/product-catalog/view/telenurse-solution/
Teller 7.0,"Teller or cashier positions are integral to financial institutions as they conduct numerous banking transactions each day, as well as being the face of the bank to its customers. The Teller Solution contains scales that measure a person’s ability to handle money, prevent transactional errors, promote quality customer service, and generate sales or referrals appropriately.",35,"B,K,P,S",yes,yes,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/teller-7-0/
Teller with Sales - Short Form,"The Teller solution with Sales is for entry-level financial institution teller positions. Sample tasks for this job would include, but are not limited to: balancing currency, coin and checks, cashing checks and paying out money, entering customer transactions into computers, and suggestive selling after a customer service interaction.",35,"A,B,K,P,S",yes,no,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/teller-with-sales-short-form/
Transcriptionist Solution,"The Transcriptionist solution is for entry-level clerical roles in a healthcare environment that require employees to translate medical information. Sample tasks for these jobs include, but are not limited to: transcribing dictated reports, deciphering medical jargon, and proofing medical reports. Potential job titles that use this solution are: Medical Transcriptionist, Medical Transcriber, and Documentation Specialist. Multiple configurations of this solution are available.",33,"A,B,K,P",yes,yes,Entry-Level,English (USA),https://www.shl.com/solutions/products/product-catalog/view/transcriptionist-solution/
Workplace Safety - Individual 7.0 Solution,"Our Workplace Safety - Individual 7.0 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. The solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.",16,B,yes,no,Entry-Level,"German, English International, English (USA), Italian, French, Dutch, French (Canada), Latin American Spanish, Arabic",https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/
Workplace Safety - Individual 7.1 (Americas),"Our Workplace Safety - Individual 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. The solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.",16,B,yes,no,Entry-Level,"Portuguese (Brazil), English (USA), French (Canada), Latin American Spanish",https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-1-solution/
Workplace Safety - Team 7.0 Solution,"The Workplace Safety – Team 7.0 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. The solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.",20,B,yes,no,Director,"English International, English (USA), French (Canada), Latin American Spanish",https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-0-solution/
Workplace Safety - Team 7.1 (Americas),"The Workplace Safety – Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. The solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.",20,"B,C,P",yes,no,"Entry-Level, General Population, Professional Individual Contributor","English (USA), Latin American Spanish, French (Canada)",https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/
Workplace Safety - Team 7.1 (International),"The Workplace Safety – Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. The solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.",20,"B,C,P",yes,no,"Entry-Level, General Population, Professional Individual Contributor","English International, Finnish, French, Dutch, Latin American Spanish, Swedish, Portuguese (Brazil), Italian, German, French (Canada), Danish",https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-solution/
Workplace Safety Solution,"The Workplace Safety Solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in the workplace. This solution measures one’s general tendency to behave safely in the workplace using a variety of assessment types including personality traits, safety-related situational judgment, and biodata. Potential job titles that use this solution are: Material Handler, Shipping Operator, Driver, Forklift Operator, Crewman, Mechanic, and Receiver.",21,"B,P",yes,yes,Entry-Level,"English (USA), English (Australia)",https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/
